0: =(6,2)
1: >=(5,4)
2: and(False,True)
3: >=(0,6)
4: or(False,True)
5: subset(A,B)
6: >f(0.0,0.0)
7: >f(0.6000000000000001,0.9)
8: =(5,4)
9: or(True,True)
10: >f(0.7000000000000001,0.9)
11: >=(4,3)
12: or(False,True)
13: subset(B,B)
14: >(6,3)
15: and(False,True)
16: >f(0.7000000000000001,0.7000000000000001)
17: or(True,True)
18: =(1,0)
19: or(False,False)
20: subset(A,A)
21: >f(0.6000000000000001,0.8)
22: or(True,True)
23: subset(A,A)
24: >f(0.9,0.8)
25: >f(0.0,0.4)
26: >=(0,6)
27: >=(4,1)
28: >(4,5)
29: =(1,0)
30: or(True,False)
31: >f(0.1,0.0)
32: and(False,True)
33: or(True,True)
34: subset(A,A)
35: >=(5,4)
36: >=(2,5)
37: and(True,True)
38: =(0,3)
39: subset(B,B)
40: and(False,True)
41: subset(A,A)
42: subset(A,A)
43: >f(0.0,0.2)
44: =(0,3)
45: =(5,2)
46: >(5,4)
47: or(False,True)
48: and(False,True)
49: or(False,True)
50: or(False,True)
51: and(True,False)
52: >f(0.1,0.30000000000000004)
53: =(5,3)
54: =(0,4)
55: subset(B,B)
56: >=(5,5)
57: and(True,False)
58: and(False,True)
59: or(False,True)
60: >f(0.8,0.1)
61: =(3,2)
62: =(1,3)
63: or(False,True)
64: >(0,2)
65: and(True,True)
66: >f(0.9,0.5)
67: =(1,5)
68: >=(4,6)
69: and(False,True)
70: and(False,True)
71: subset(B,B)
72: >f(0.30000000000000004,0.1)
73: or(False,False)
74: =(5,2)
75: >(4,1)
76: >=(3,6)
77: >f(0.0,0.7000000000000001)
78: and(False,True)
79: >(0,5)
80: >f(0.9,0.0)
81: or(True,False)
82: >=(0,0)
83: and(False,False)
84: >=(2,1)
85: or(False,False)
86: and(True,True)
87: =(0,3)
88: =(4,1)
89: subset(B,B)
90: =(1,5)
91: =(4,6)
92: =(6,0)
93: =(4,4)
94: >=(1,5)
95: subset(A,B)
96: subset(A,A)
97: >f(0.0,0.6000000000000001)
98: and(True,True)
99: >f(0.2,0.5)
100: >f(0.4,0.1)
101: =(4,card(B))
102: =(6,1)
103: >=(6,1)
104: or(=(5,5),False)
105: =(5,0)
106: =(4,5)
107: >(1,card(B))
108: >(card(A),2)
109: subset(intersection(B,B),A)
110: >=(card(A),4)
111: subset(B,union(A,A))
112: subset(union(B,A),B)
113: >(card(A),2)
114: subset(B,B)
115: >f(0.1,0.9)
